name,key,,,
Wayne Watson,7,,,
Tesla,7,,,
Kings Of Leon,0,,,
Julien Clerc,2,,,
The Killers,4,,,
Gloriana,0,,,
Zuzu Bollin,10,,,
Marcus Miller,0,,,
Headhunter,8,,,
M.I.K.E.,11,,,
Hemdale,10,,,
Dylan Kuo,1,,,
Marty Robbins,11,,,
Little Eva,3,,,
Various Indian Tribes,9,,,
Lady Saw,11,,,
Abracadabra,11,,,
Kool Savas,6,,,
Supertalented,0,,,
Danilo Perez / Claus Ogerman,4,,,
Stan,5,,,
Sergio Dalma,0,,,
Los Fabulosos Cadillacs,0,,,
Hatesex,1,,,
Georges Delerue,6,,,
Deborah Coleman,5,,,
Willie Bobo,0,,,
Alexis HK,11,,,
A Tribe Called Quest,2,,,
Robben Ford,2,,,
The Mars Volta,6,,,
Beastie Boys,11,,,
Sugar Minott,0,,,
Billie Jo Spears,6,,,
Moraes Moreira,11,,,
Der Plan,9,,,
Madonna,7,,,
Albert King,9,,,
Ragheb Alama,5,,,
Marc Shaiman,5,,,
Toni Braxton,6,,,
Fabri Fibra,1,,,
Jaydee,1,,,
Information Society,6,,,
Sugar Minott,7,,,
Lisa Lisa & Cult Jam,0,,,
HardNox,11,,,
Descendents,11,,,
Java,1,,,
Killers,6,,,
Johnny Otis Show,0,,,
Palito Ortega,9,,,
Gathering,7,,,
Dark Shadows,7,,,
Jake Hess,6,,,
Pep Laguarda & Tapineria,0,,,
Twista,1,,,
Bruisers,9,,,
X-Raided,7,,,
Tommy Makem;The Clancy Brothers,5,,,
André Verchuren,7,,,
The Freedom,2,,,
Little Angels,0,,,
Bobby Marchan,5,,,
Patti Smith Group,9,,,
John Stewart,9,,,
Ray Conniff,0,,,
Zachary Richard,8,,,
Stanley Clarke,4,,,
Gwen Stefani,0,,,
Fiona,1,,,
Ghost Machine,5,,,
Various Production,1,,,
Lady Saw,0,,,
Delroy Wilson,8,,,
Gyptian,7,,,
Kaija Koo,1,,,
Aerosmith,0,,,
Beenie Man,2,,,
The Jordanaires,10,,,
Julie Zenatti,9,,,
Dropkick Murphys,3,,,
The Roches,2,,,
Stevie Ray Vaughan And Double Trouble,1,,,
The Mars Volta,6,,,
Kitty Kallen,8,,,
Black Debbath,8,,,
The Jets,11,,,
DJ Rashad,7,,,
Jessica Simpson,10,,,
Mix Mob,11,,,
Snow Patrol,0,,,
Alan Silvestri,5,,,
Carl Smith,4,,,
Marc Dorsey,7,,,
Gang Of Four,9,,,
Tyrone Taylor,0,,,
Radio Birdman,11,,,
Howie Day,10,,,
Dungeon Family,0,,,
