genre,key,,,
hardcore,10,,,
blues,8,,,
indie rock,7,,,
hip hop,10,,,
reggae,10,,,
rock,7,,,
punk,9,,,
latin,7,,,
hip hop,7,,,
jazz,7,,,
punk,0,,,
rock,7,,,
comedy,4,,,
electronica,9,,,
pop,4,,,
new age,7,,,
rock,7,,,
pop,9,,,
punk,5,,,
hard trance,4,,,
new age,0,,,
chanson,2,,,
symphony,8,,,
dance,11,,,
pop,1,,,
rap,7,,,
soundtrack,0,,,
reggae,6,,,
punk,9,,,
80s,10,,,
neue deutsche welle,11,,,
celtic,7,,,
pop,7,,,
hip hop,1,,,
oi,2,,,
pop,1,,,
hip hop,2,,,
rock,9,,,
christian,9,,,
electronica,2,,,
pop,5,,,
30s,0,,,
experimental,5,,,
bossa nova,4,,,
blues,0,,,
soukous,8,,,
rockabilly,4,,,
pop,7,,,
progressive rock,2,,,
blues,5,,,
easy listening,7,,,
pop,0,,,
arabic pop,10,,,
rock,5,,,
rock,9,,,
house,6,,,
jazz,3,,,
blues,7,,,
soul,0,,,
jazz,5,,,
lo-fi,8,,,
hip hop,3,,,
doo-wop,2,,,
french pop,5,,,
folk,5,,,
country,0,,,
rock,8,,,
remix,7,,,
hip hop,10,,,
country,3,,,
pop,2,,,
rap,5,,,
punk,0,,,
hip hop,10,,,
rock,2,,,
country,1,,,
country,9,,,
chanson,3,,,
reggae,1,,,
jazz,10,,,
pop,7,,,
dance,9,,,
indie pop,2,,,
reggae,4,,,
punk,0,,,
punk,2,,,
blues,4,,,
r&b,2,,,
easy listening,3,,,
irish folk,7,,,
country,9,,,
garage rock,1,,,
country,5,,,
pop,6,,,
70s,7,,,
rock,0,,,
rock,9,,,
jazz,3,,,
experimental,8,,,
hip hop,1,,,
