name,key,,,
A Tribe Called Quest,2,,,
Abracadabra,11,,,
Aerosmith,0,,,
Alan Silvestri,5,,,
Albert King,9,,,
Alexis HK,11,,,
André Verchuren,7,,,
Beastie Boys,11,,,
Beenie Man,2,,,
Billie Jo Spears,6,,,
Black Debbath,8,,,
Bobby Marchan,5,,,
Bruisers,9,,,
Carl Smith,4,,,
Danilo Perez / Claus Ogerman,4,,,
Dark Shadows,7,,,
Deborah Coleman,5,,,
Delroy Wilson,8,,,
Der Plan,9,,,
Descendents,11,,,
DJ Rashad,7,,,
Dropkick Murphys,3,,,
Dungeon Family,0,,,
Dylan Kuo,1,,,
Fabri Fibra,1,,,
Fiona,1,,,
Gang Of Four,9,,,
Gathering,7,,,
Georges Delerue,6,,,
Ghost Machine,5,,,
Gloriana,0,,,
Gwen Stefani,0,,,
Gyptian,7,,,
HardNox,11,,,
Hatesex,1,,,
Headhunter,8,,,
Hemdale,10,,,
Howie Day,10,,,
Information Society,6,,,
Jake Hess,6,,,
Java,1,,,
Jaydee,1,,,
Jessica Simpson,10,,,
John Stewart,9,,,
Johnny Otis Show,0,,,
Julie Zenatti,9,,,
Julien Clerc,2,,,
Kaija Koo,1,,,
Killers,6,,,
Kings Of Leon,0,,,
Kitty Kallen,8,,,
Kool Savas,6,,,
Lady Saw,11,,,
Lady Saw,0,,,
Lisa Lisa & Cult Jam,0,,,
Little Angels,0,,,
Little Eva,3,,,
Los Fabulosos Cadillacs,0,,,
M.I.K.E.,11,,,
Madonna,7,,,
Marc Dorsey,7,,,
Marc Shaiman,5,,,
Marcus Miller,0,,,
Marty Robbins,11,,,
Mix Mob,11,,,
Moraes Moreira,11,,,
Palito Ortega,9,,,
Patti Smith Group,9,,,
Pep Laguarda & Tapineria,0,,,
Radio Birdman,11,,,
Ragheb Alama,5,,,
Ray Conniff,0,,,
Robben Ford,2,,,
Sergio Dalma,0,,,
Snow Patrol,0,,,
Stan,5,,,
Stanley Clarke,4,,,
Stevie Ray Vaughan And Double Trouble,1,,,
Sugar Minott,0,,,
Sugar Minott,7,,,
Supertalented,0,,,
Tesla,7,,,
The Freedom,2,,,
The Jets,11,,,
The Jordanaires,10,,,
The Killers,4,,,
The Mars Volta,6,,,
The Mars Volta,6,,,
The Roches,2,,,
Tommy Makem;The Clancy Brothers,5,,,
Toni Braxton,6,,,
Twista,1,,,
Tyrone Taylor,0,,,
Various Indian Tribes,9,,,
Various Production,1,,,
Wayne Watson,7,,,
Willie Bobo,0,,,
X-Raided,7,,,
Zachary Richard,8,,,
Zuzu Bollin,10,,,
