genre,key,,,
30s,0,,,
70s,7,,,
80s,10,,,
arabic pop,10,,,
blues,8,,,
blues,0,,,
blues,5,,,
blues,7,,,
blues,4,,,
bossa nova,4,,,
celtic,7,,,
chanson,2,,,
chanson,3,,,
christian,9,,,
comedy,4,,,
country,0,,,
country,3,,,
country,1,,,
country,9,,,
country,9,,,
country,5,,,
dance,11,,,
dance,9,,,
doo-wop,2,,,
easy listening,7,,,
easy listening,3,,,
electronica,9,,,
electronica,2,,,
experimental,5,,,
experimental,8,,,
folk,5,,,
french pop,5,,,
garage rock,1,,,
hard trance,4,,,
hardcore,10,,,
hip hop,10,,,
hip hop,7,,,
hip hop,1,,,
hip hop,2,,,
hip hop,3,,,
hip hop,10,,,
hip hop,10,,,
hip hop,1,,,
house,6,,,
indie pop,2,,,
indie rock,7,,,
irish folk,7,,,
jazz,7,,,
jazz,3,,,
jazz,5,,,
jazz,10,,,
jazz,3,,,
latin,7,,,
lo-fi,8,,,
neue deutsche welle,11,,,
new age,7,,,
new age,0,,,
oi,2,,,
pop,4,,,
pop,9,,,
pop,1,,,
pop,7,,,
pop,1,,,
pop,5,,,
pop,7,,,
pop,0,,,
pop,2,,,
pop,7,,,
pop,6,,,
progressive rock,2,,,
punk,9,,,
punk,0,,,
punk,5,,,
punk,9,,,
punk,0,,,
punk,0,,,
punk,2,,,
r&b,2,,,
rap,7,,,
rap,5,,,
reggae,10,,,
reggae,6,,,
reggae,1,,,
reggae,4,,,
remix,7,,,
rock,7,,,
rock,7,,,
rock,7,,,
rock,9,,,
rock,5,,,
rock,9,,,
rock,8,,,
rock,2,,,
rock,0,,,
rock,9,,,
rockabilly,4,,,
soukous,8,,,
soul,0,,,
soundtrack,0,,,
symphony,8,,,
